px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.24674	-7.60613	-2.78118	-2.56625	-0.678943	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.217626
6.34898	-7.50011	-2.76415	-2.55975	-0.611818	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0.0391735
6.47337	-7.4092	-2.76783	-2.58766	-0.606347	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.133297
6.58818	-7.32691	-2.77247	-2.6117	-0.600652	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.00610494
6.71682	-7.23799	-2.79442	-2.63436	-0.592079	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.541754
6.79115	-7.10645	-2.74797	-2.57233	-0.448524	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	0.189268
6.91142	-7.01223	-2.74988	-2.58772	-0.440009	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.347405
7.04312	-6.93422	-2.75247	-2.61288	-0.441185	7.08741	-6.92602	7	-6.85	2.72856	1.81904	8.73342e-05
7.17272	-6.83909	-2.76393	-2.62643	-0.430706	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.434159
7.26542	-6.72318	-2.73121	-2.5809	-0.323219	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	0.103708
7.3879	-6.62859	-2.73637	-2.58918	-0.3143	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.309384
7.53588	-6.58741	-2.76237	-2.65698	-0.396244	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	0.0621449
7.65884	-6.51272	-2.7698	-2.67093	-0.39054	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.129989
7.7784	-6.42869	-2.75612	-2.66845	-0.355407	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.0131303
7.90452	-6.36108	-2.74697	-2.68581	-0.353896	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.145045
8.02889	-6.28443	-2.73528	-2.68596	-0.323923	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.00875149
8.16096	-6.2048	-2.74056	-2.69508	-0.315657	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.22089
8.24985	-6.10734	-2.70719	-2.6512	-0.224939	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	0.0796316
8.36553	-6.02484	-2.71448	-2.65098	-0.214049	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.381801
8.51476	-5.97062	-2.73357	-2.69176	-0.260211	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	0.0222407
8.65205	-5.89722	-2.74032	-2.70145	-0.255662	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0681467
8.75348	-5.79388	-2.70381	-2.6535	-0.161096	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	0.0880494
8.8812	-5.70762	-2.70973	-2.65196	-0.15121	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.272832
8.97703	-5.61474	-2.68644	-2.61369	-0.0808777	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	0.0477154
9.08788	-5.52799	-2.69222	-2.60578	-0.0696605	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.377333
9.22876	-5.46718	-2.70957	-2.64064	-0.121228	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	0.0342914
9.35752	-5.3813	-2.71618	-2.63858	-0.113	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.182718
9.45123	-5.26983	-2.68121	-2.58285	-0.020145	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	0.0841722
9.5731	-5.17893	-2.6859	-2.57604	-0.0127199	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.14553
9.67494	-5.07587	-2.66423	-2.53478	0.0525324	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	0.0424419
9.7898	-4.97916	-2.66751	-2.52332	0.0605076	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.179776
9.8856	-4.86694	-2.64953	-2.47667	0.126089	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0.0390906
9.99357	-4.76953	-2.64824	-2.46412	0.13127	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.109865
10.0766	-4.64421	-2.63136	-2.40647	0.204834	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0.046636
10.1772	-4.52601	-2.64011	-2.38241	0.216506	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.379246
10.2626	-4.40136	-2.6344	-2.33753	0.263074	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.0178166
10.3624	-4.26773	-2.65511	-2.30845	0.275973	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.616607
10.4822	-4.17455	-2.66753	-2.32439	0.229579	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0.0190444
10.5754	-4.04103	-2.68193	-2.29673	0.242821	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.577507
10.673	-3.92641	-2.6854	-2.28141	0.244936	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	1.56916e-05
10.7671	-3.80042	-2.69516	-2.26106	0.250883	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.144966
10.8191	-3.65253	-2.68023	-2.18483	0.343758	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	0.0712507
